# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
2.668090 1.474040 3.458220 0.252000 0.251500 0.000000 15 1 62
2.668270 1.471810 3.456650 0.756000 0.251500 0.000000 15 1 62
2.668890 1.469290 3.454220 1.260000 0.251500 0.000000 15 1 62
2.669770 1.467400 3.451740 1.764000 0.251500 0.000000 15 1 62
2.670930 1.465810 3.450510 2.268000 0.251500 0.000000 15 1 62
2.672040 1.464620 3.450650 2.772000 0.251500 0.000000 15 1 62
2.672810 1.463890 3.451960 3.276000 0.251500 0.000000 15 1 62
2.674310 1.463330 3.454980 3.780000 0.251500 0.000000 15 1 62
2.676020 1.463100 3.458790 4.284000 0.251500 0.000000 15 1 62
2.677330 1.458280 3.281670 4.788000 0.251500 0.000000 13 1 62
2.681080 1.457080 3.283960 5.292000 0.251500 0.000000 13 1 62
2.682640 1.456400 3.284500 5.796000 0.251500 0.000000 13 1 62
2.688550 1.457600 3.293670 6.300000 0.251500 0.000000 13 1 62
2.690850 1.457710 3.295820 6.804000 0.251500 0.000000 13 1 62
1.895770 1.728600 3.733000 7.308000 0.251500 0.000000 8 1 62
1.897210 1.727480 3.736660 7.812000 0.251500 0.000000 8 1 62
1.898980 1.725840 3.741280 8.316000 0.251500 0.000000 8 1 62
1.899000 1.724880 3.741930 8.820000 0.251500 0.000000 8 1 62
1.898750 1.723930 3.742060 9.324000 0.251500 0.000000 8 1 62
1.898380 1.723420 3.741650 9.828000 0.251500 0.000000 8 1 62
1.896180 1.722600 3.741400 10.332000 0.251500 0.000000 8 1 62
1.894020 1.722330 3.741510 10.836000 0.251500 0.000000 8 1 62
1.892880 1.722820 3.741970 11.340000 0.251500 0.000000 8 1 62
1.891530 1.723510 3.744170 11.844000 0.251500 0.000000 8 1 62
1.890060 1.724280 3.747350 12.348001 0.251500 0.000000 8 1 62
1.888470 1.724960 3.750400 12.852000 0.251500 0.000000 8 1 62
1.886480 1.726290 3.753630 13.356000 0.251500 0.000000 8 1 62
1.885050 1.727560 3.755610 13.860000 0.251500 0.000000 8 1 62
1.883170 1.729280 3.758450 14.364000 0.251500 0.000000 8 1 62
1.881800 1.730870 3.760870 14.868000 0.251500 0.000000 8 1 62
1.881260 1.731930 3.762240 15.372000 0.251500 0.000000 8 1 62
1.880900 1.733660 3.764160 15.876000 0.251500 0.000000 8 1 62
1.880540 1.735050 3.765850 16.380001 0.251500 0.000000 8 1 62
1.880060 1.735230 3.766640 16.884001 0.251500 0.000000 8 1 62
1.879670 1.735230 3.767420 17.388000 0.251500 0.000000 8 1 62
1.879480 1.735090 3.768200 17.892000 0.251500 0.000000 8 1 62
1.879380 1.735160 3.769410 18.396002 0.251500 0.000000 8 1 62
1.878820 1.735380 3.770700 18.900002 0.251500 0.000000 8 1 62
1.878020 1.735670 3.771410 19.404001 0.251500 0.000000 8 1 62
1.876510 1.735840 3.770200 19.908001 0.251500 0.000000 8 1 62
1.875180 1.736040 3.767970 20.412001 0.251500 0.000000 8 1 62
1.874630 1.736340 3.765630 20.916000 0.251500 0.000000 8 1 62
1.873930 1.736760 3.762570 21.420002 0.251500 0.000000 8 1 62
1.873220 1.737050 3.759160 21.924002 0.251500 0.000000 8 1 62
1.872640 1.736850 3.755460 22.428001 0.251500 0.000000 8 1 62
1.871940 1.736860 3.750830 22.932001 0.251500 0.000000 8 1 62
1.871450 1.737050 3.747490 23.436001 0.251500 0.000000 8 1 62
1.870780 1.737870 3.742050 23.940001 0.251500 0.000000 8 1 62
1.870270 1.738440 3.736160 24.444002 0.251500 0.000000 8 1 62
1.872150 1.737000 3.730630 24.948002 0.251500 0.000000 8 1 62
1.871510 1.737070 3.723340 25.452002 0.251500 0.000000 8 1 62
1.869060 1.738470 3.719380 25.956001 0.251500 0.000000 8 1 62
1.868270 1.738990 3.715390 26.460001 0.251500 0.000000 8 1 62
1.867180 1.739700 3.709730 26.964001 0.251500 0.000000 8 1 62
1.866320 1.740250 3.705200 27.468000 0.251500 0.000000 8 1 62
1.865120 1.741260 3.699850 27.972002 0.251500 0.000000 8 1 62
1.863890 1.742420 3.694990 28.476002 0.251500 0.000000 8 1 62
1.862930 1.743410 3.691690 28.980001 0.251500 0.000000 8 1 62
1.861670 1.743990 3.686860 29.484001 0.251500 0.000000 8 1 62
1.860510 1.744420 3.682070 29.988001 0.251500 0.000000 8 1 62
1.859800 1.744940 3.678880 30.492001 0.251500 0.000000 8 1 62
1.858120 1.745770 3.674450 30.996002 0.251500 0.000000 8 1 62
1.855830 1.746760 3.669950 31.500002 0.251500 0.000000 8 1 62
1.853680 1.747890 3.666860 32.004002 0.251500 0.000000 8 1 62
1.851290 1.749140 3.662210 32.507999 0.251500 0.000000 8 1 62
1.849860 1.749890 3.658170 33.012001 0.251500 0.000000 8 1 62
1.848030 1.750470 3.652460 33.515999 0.251500 0.000000 8 1 62
1.846110 1.751190 3.646790 34.020000 0.251500 0.000000 8 1 62
1.844500 1.752130 3.642720 34.523998 0.251500 0.000000 8 1 62
1.841920 1.753520 3.638590 35.028000 0.251500 0.000000 8 1 62
1.839110 1.754980 3.635280 35.531998 0.251500 0.000000 8 1 62
1.837010 1.756000 3.633140 36.035999 0.251500 0.000000 8 1 62
1.833380 1.757380 3.629930 36.540001 0.251500 0.000000 8 1 62
1.830000 1.758430 3.627200 37.043999 0.251500 0.000000 8 1 62
1.826710 1.760050 3.623490 37.548000 0.251500 0.000000 8 1 62
1.824930 1.761700 3.620400 38.051998 0.251500 0.000000 8 1 62
1.825180 1.762950 3.618880 38.556000 0.251500 0.000000 8 1 62
1.826090 1.764150 3.618950 39.060001 0.251500 0.000000 8 1 62
1.827480 1.764730 3.620210 39.563999 0.251500 0.000000 8 1 62
1.829040 1.764180 3.621750 40.068001 0.251500 0.000000 8 1 62
1.829810 1.763740 3.623510 40.571999 0.251500 0.000000 8 1 62
1.829600 1.763590 3.624690 41.076000 0.251500 0.000000 8 1 62
1.827710 1.764550 3.623570 41.579998 0.251500 0.000000 8 1 62
1.825360 1.765990 3.621750 42.084000 0.251500 0.000000 8 1 62
1.823370 1.767400 3.620090 42.588001 0.251500 0.000000 8 1 62
1.819880 1.769300 3.618470 43.091999 0.251500 0.000000 8 1 62
1.815920 1.771440 3.617750 43.596001 0.251500 0.000000 8 1 62
1.812650 1.773460 3.618550 44.099998 0.251500 0.000000 8 1 62
1.810100 1.776340 3.621590 44.604000 0.251500 0.000000 8 1 62
1.809140 1.778950 3.626180 45.107998 0.251500 0.000000 8 1 62
1.810020 1.779050 3.630420 45.612000 0.251500 0.000000 8 1 62
1.812410 1.778240 3.635580 46.116001 0.251500 0.000000 8 1 62
1.815320 1.776770 3.639120 46.619999 0.251500 0.000000 8 1 62
1.817690 1.775190 3.642630 47.124001 0.251500 0.000000 8 1 62
1.819030 1.774180 3.645200 47.627998 0.251500 0.000000 8 1 62
1.819070 1.774160 3.646230 48.132000 0.251500 0.000000 8 1 62
1.818620 1.774940 3.647510 48.636002 0.251500 0.000000 8 1 62
1.817980 1.776070 3.648680 49.139999 0.251500 0.000000 8 1 62
1.817800 1.776580 3.649390 49.644001 0.251500 0.000000 8 1 62
1.817130 1.777090 3.648870 50.147999 0.251500 0.000000 8 1 62
1.816290 1.777370 3.647380 50.652000 0.251500 0.000000 8 1 62
1.814380 1.777690 3.641070 51.155998 0.251500 0.000000 8 1 62
1.811860 1.778400 3.632470 51.660000 0.251500 0.000000 8 1 62
1.810330 1.778340 3.602600 52.164001 0.251500 0.000000 8 1 62
