# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
2.66809 1.47404 3.45822 0.252 0.2515 0 15 1 62 1.849317e+14
2.66827 1.47181 3.45665 0.756 0.2515 0 15 1 62 2.086667e+14
2.66889 1.46929 3.45422 1.26 0.2515 0 15 1 62 2.244396e+14
2.66977 1.4674 3.45174 1.764 0.2515 0 15 1 62 1.690165e+14
2.67093 1.46581 3.45051 2.268 0.2515 0 15 1 62 1.556859e+14
2.67204 1.46462 3.45065 2.772 0.2515 0 15 1 62 1.373915e+14
2.67281 1.46389 3.45196 3.276 0.2515 0 15 1 62 1.675297e+14
2.67431 1.46333 3.45498 3.78 0.2515 0 15 1 62 1.477970e+14
2.67602 1.4631 3.45879 4.284 0.2515 0 15 1 62 1.113744e+14
2.67733 1.45828 3.28167 4.788 0.2515 0 13 1 62 0.000000e+00
2.68108 1.45708 3.28396 5.292 0.2515 0 13 1 62 0.000000e+00
2.68264 1.4564 3.2845 5.796 0.2515 0 13 1 62 2.258488e+14
2.68855 1.4576 3.29367 6.3 0.2515 0 13 1 62 1.879158e+14
2.69085 1.45771 3.29582 6.804 0.2515 0 13 1 62 0.000000e+00
1.89577 1.7286 3.733 7.308 0.2515 0 8 1 62 9.421424e+13
1.89721 1.72748 3.73666 7.812 0.2515 0 8 1 62 1.244321e+14
1.89898 1.72584 3.74128 8.316 0.2515 0 8 1 62 5.891282e+13
1.899 1.72488 3.74193 8.82 0.2515 0 8 1 62 5.647759e+13
1.89875 1.72393 3.74206 9.324 0.2515 0 8 1 62 4.940962e+13
1.89838 1.72342 3.74165 9.828 0.2515 0 8 1 62 5.705625e+13
1.89618 1.7226 3.7414 10.332 0.2515 0 8 1 62 5.512660e+13
1.89402 1.72233 3.74151 10.836 0.2515 0 8 1 62 5.048283e+13
1.89288 1.72282 3.74197 11.34 0.2515 0 8 1 62 9.580746e+13
1.89153 1.72351 3.74417 11.844 0.2515 0 8 1 62 1.295625e+14
1.89006 1.72428 3.74735 12.348001 0.2515 0 8 1 62 1.298743e+14
1.88847 1.72496 3.7504 12.852 0.2515 0 8 1 62 1.611849e+14
