# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 13 17:56:03 2022
# X_STEP: 0.800000
# Y_STEP: 0.800000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 100.000000
# Y_MAX: 100.800003
# Z_MAX: 0.000000
#
# X_DIM: 125
# Y_DIM: 126
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 66
#
# Num_Features: 66 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
1.097294 1.47404 3.45822 0.4 0.4 0 55 1 62 1.914614e+14
1.097604 1.47036 3.45564 1.2 0.4 0 55 1 62 2.492708e+14
1.099274 1.46677 3.45091 2 0.4 0 55 1 62 1.815306e+14
1.100934 1.46491 3.45013 2.8 0.4 0 55 1 62 1.713606e+14
1.102414 1.46352 3.45263 3.6 0.4 0 55 1 62 1.700409e+14
1.105024 1.46306 3.4582 4.4 0.4 0 55 1 62 1.531684e+14
1.106534 1.45828 3.28167 5.2 0.4 0 39 1 62 1.391429e+14
1.112104 1.45488 3.28141 6 0.4 0 39 1 62 2.117172e+14
1.120054 1.45771 3.29582 6.8 0.4 0 39 1 62 1.391429e+14
0.324974 1.7286 3.733 7.6 0.4 0 57 1 62 1.332338e+14
0.328174 1.7261 3.74111 8.4 0.4 0 57 1 62 7.004656e+13
0.328214 1.72427 3.74233 9.2 0.4 0 57 1 62 6.125753e+13
0.327504 1.72331 3.74156 10 0.4 0 57 1 62 6.140179e+13
0.323814 1.72208 3.74128 10.8 0.4 0 57 1 62 5.314918e+13
0.321624 1.72302 3.74215 11.599999 0.4 0 57 1 62 1.094804e+14
0.319784 1.72406 3.74635 12.4 0.4 0 57 1 62 1.632456e+14
0.316754 1.72536 3.75216 13.2 0.4 0 57 1 62 1.550030e+14
0.314014 1.72777 3.75595 14 0.4 0 57 1 62 1.552160e+14
0.311304 1.73028 3.76009 14.8 0.4 0 57 1 62 1.292481e+14
0.310274 1.73229 3.76271 15.599999 0.4 0 57 1 62 9.159007e+13
0.309934 1.73498 3.76555 16.4 0.4 0 57 1 62 5.265770e+13
0.309004 1.73533 3.76704 17.200001 0.4 0 57 1 62 5.661412e+13
0.308704 1.73508 3.76794 18 0.4 0 57 1 62 7.451051e+13
0.308524 1.7352 3.77026 18.799999 0.4 0 57 1 62 6.458038e+13
0.306984 1.73576 3.77161 19.6 0.4 0 57 1 62 6.241915e+13
0.304624 1.7359 3.769 20.4 0.4 0 57 1 62 9.024316e+13
0.303584 1.73648 3.76455 21.200001 0.4 0 57 1 62 9.627049e+13
0.302574 1.73711 3.76013 22 0.4 0 57 1 62 1.511859e+14
0.301474 1.73672 3.75308 22.799999 0.4 0 57 1 62 1.383779e+14
0.300544 1.7371 3.74671 23.6 0.4 0 57 1 62 1.548510e+14
0.299554 1.73845 3.73852 24.4 0.4 0 57 1 62 1.765363e+14
0.302504 1.73617 3.72592 25.200001 0.4 0 57 1 62 1.688615e+14
0.298514 1.73831 3.72066 26 0.4 0 57 1 62 1.431263e+14
0.297004 1.7393 3.71304 26.799999 0.4 0 57 1 62 1.585455e+14
0.295374 1.74034 3.7044 27.6 0.4 0 57 1 62 1.424679e+14
0.293624 1.74188 3.69681 28.4 0.4 0 57 1 62 1.602417e+14
0.291794 1.74375 3.69053 29.200001 0.4 0 57 1 62 1.412305e+14
0.289984 1.74423 3.68327 30 0.4 0 57 1 62 1.289482e+14
0.288634 1.74522 3.67719 30.799999 0.4 0 57 1 62 1.270150e+14
0.285464 1.74654 3.67056 31.6 0.4 0 57 1 62 1.143419e+14
0.281364 1.74868 3.66468 32.400002 0.4 0 57 1 62 1.714058e+14
0.278634 1.75011 3.65697 33.200001 0.4 0 57 1 62 1.928049e+14
0.276014 1.75078 3.64855 34.000004 0.4 0 57 1 62 1.689381e+14
0.272944 1.75257 3.64079 34.800003 0.4 0 57 1 62 1.142995e+14
0.268844 1.75472 3.63583 35.600002 0.4 0 57 1 62 1.020871e+14
0.264844 1.75667 3.63174 36.400002 0.4 0 57 1 62 1.118068e+14
0.258384 1.75868 3.62655 37.200001 0.4 0 57 1 62 1.140623e+14
0.254004 1.76109 3.62114 38.000004 0.4 0 57 1 62 1.906994e+14
0.254494 1.76347 3.61824 38.800003 0.4 0 57 1 62 2.513232e+14
0.256194 1.7649 3.61973 39.600002 0.4 0 57 1 62 2.775908e+14
0.259174 1.76385 3.62266 40.400002 0.4 0 57 1 62 2.048309e+14
0.258764 1.76357 3.62491 41.200001 0.4 0 57 1 62 2.180144e+14
0.255654 1.76522 3.62265 42.000004 0.4 0 57 1 62 1.908146e+14
