# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 8? 30 14:53:11 2022
# X_STEP: 0.333000
# Y_STEP: 0.333000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 48.951000
# Y_MAX: 48.951000
# Z_MAX: 0.000000
#
# X_DIM: 147
# Y_DIM: 147
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 87
#
# Num_Features: 87 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
1.316004 1.591440 0.069220 0.166500 0.166500 0.00 16 1 62 43795505007580.77
1.315604 1.591470 0.068300 0.499500 0.166500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 0.832500 0.166500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 1.165500 0.166500 0.00 16 1 62 43795505007580.77
1.314644 1.590860 0.069880 1.498500 0.166500 0.00 16 1 62 43795505007580.77
1.315704 1.591160 0.069410 1.831500 0.166500 0.00 16 1 62 43795505007580.77
1.316264 1.591240 0.069520 2.164500 0.166500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 2.497500 0.166500 0.00 16 1 62 43795505007580.77
1.316424 1.591120 0.069750 2.830500 0.166500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 3.163500 0.166500 0.00 16 1 62 43795505007580.77
1.316374 1.591110 0.069550 3.496500 0.166500 0.00 16 1 62 43795505007580.77
1.315574 1.591280 0.069580 3.829500 0.166500 0.00 16 1 62 43795505007580.77
1.315144 1.591130 0.069760 4.162500 0.166500 0.00 16 1 62 43795505007580.77
1.314024 1.591240 0.070020 4.495500 0.166500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 4.828500 0.166500 0.00 16 1 62 43795505007580.77
1.334464 1.574250 0.131150 5.161500 0.166500 0.00 37 1 62 85754643092147.03
1.334354 1.574250 0.131060 5.494500 0.166500 0.00 37 1 62 85754643092147.03
5.543229 1.187110 0.857570 5.827500 0.166500 0.00 53 1 62 59704964354047.29
5.543159 1.187510 0.857640 6.160500 0.166500 0.00 53 1 62 59704964354047.29
5.543189 1.187270 0.857270 6.493500 0.166500 0.00 53 1 62 59704964354047.29
5.542929 1.186440 0.855670 6.826500 0.166500 0.00 53 1 62 59704964354047.29
5.542929 1.186440 0.855670 7.159500 0.166500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 7.492500 0.166500 0.00 53 1 62 59704964354047.29
5.543389 1.188170 0.857590 7.825500 0.166500 0.00 53 1 62 59704964354047.29
5.544159 1.187740 0.857240 8.158500 0.166500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 8.491500 0.166500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 8.824500 0.166500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 9.157500 0.166500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 9.490500 0.166500 0.00 53 1 62 59704964354047.29
5.543349 1.187900 0.857940 9.823501 0.166500 0.00 53 1 62 59704964354047.29
5.542979 1.188040 0.857760 10.156500 0.166500 0.00 53 1 62 59704964354047.29
