# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 13 19:16:43 2022
# X_STEP: 1.012000
# Y_STEP: 1.010000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 100.187996
# Y_MAX: 101.000000
# Z_MAX: 0.000000
#
# X_DIM: 99
# Y_DIM: 100
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 83
#
# Num_Features: 83 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
1.097294 1.47404 3.45822 0.506 0.505 0 56 1 62 1.828361e+14
1.098104 1.46927 3.4542 1.518 0.505 0 56 1 62 2.176105e+14
1.100144 1.46579 3.4505 2.53 0.505 0 56 1 62 1.576357e+14
1.102044 1.46387 3.452 3.542 0.505 0 56 1 62 1.611320e+14
1.105254 1.46311 3.45891 4.554 0.505 0 56 1 62 1.271198e+14
1.108024 1.45625 3.27825 5.566 0.505 0 51 1 62 9.949139e+13
1.117924 1.45761 3.29382 6.578 0.505 0 51 1 62 9.949139e+13
0.324974 1.7286 3.733 7.59 0.505 0 8 1 62 1.410944e+14
0.328184 1.72576 3.74134 8.601999 0.505 0 8 1 62 1.056634e+14
0.327924 1.72388 3.74202 9.613999 0.505 0 8 1 62 9.752585e+13
0.325184 1.72254 3.74138 10.625999 0.505 0 8 1 62 6.809359e+13
0.321954 1.72287 3.74202 11.638 0.505 0 8 1 62 1.147568e+14
0.319074 1.72436 3.74773 12.649999 0.505 0 8 1 62 1.464145e+14
0.315494 1.72646 3.75389 13.661999 0.505 0 8 1 62 1.663047e+14
0.312174 1.72947 3.75876 14.673999 0.505 0 8 1 62 1.484144e+14
0.310374 1.73209 3.76245 15.685999 0.505 0 8 1 62 1.220513e+14
0.309664 1.73508 3.76598 16.698 0.505 0 8 1 62 5.654788e+13
0.308854 1.7352 3.7675 17.709999 0.505 0 8 1 62 6.103530e+13
0.308574 1.73517 3.76963 18.722 0.505 0 8 1 62 5.791437e+13
0.306714 1.73578 3.7713 19.733999 0.505 0 8 1 62 6.577397e+13
0.304274 1.7361 3.76749 20.746 0.505 0 8 1 62 9.395138e+13
0.303014 1.73683 3.76208 21.757999 0.505 0 8 1 62 1.295165e+14
0.301714 1.73681 3.75463 22.77 0.505 0 8 1 62 1.538990e+14
0.300384 1.73732 3.74534 23.782 0.505 0 8 1 62 1.682733e+14
0.299434 1.73843 3.73499 24.793999 0.505 0 8 1 62 1.706828e+14
0.298794 1.73834 3.72409 25.806 0.505 0 8 1 62 1.502364e+14
0.297264 1.73913 3.71433 26.817999 0.505 0 8 1 62 1.629279e+14
0.294984 1.74068 3.70274 27.83 0.505 0 8 1 62 1.398672e+14
0.292824 1.7427 3.69405 28.841999 0.505 0 8 1 62 1.541366e+14
0.290594 1.74407 3.68573 29.854 0.505 0 8 1 62 1.543658e+14
0.288794 1.7451 3.67791 30.865999 0.505 0 8 1 62 1.293771e+14
0.284354 1.74712 3.66897 31.878 0.505 0 8 1 62 1.476487e+14
0.280024 1.74938 3.66089 32.889999 0.505 0 8 1 62 1.917628e+14
0.276764 1.75059 3.65097 33.902 0.505 0 8 1 62 1.686471e+14
0.272534 1.75279 3.64029 34.913998 0.505 0 8 1 62 1.029469e+14
0.267564 1.75535 3.63452 35.925999 0.505 0 8 1 62 1.093660e+14
0.261344 1.75776 3.62893 36.938 0.505 0 8 1 62 1.217265e+14
0.255044 1.76052 3.62242 37.950001 0.505 0 8 1 62 1.684475e+14
0.254754 1.76369 3.61847 38.961998 0.505 0 8 1 62 2.408084e+14
0.257304 1.76451 3.62082 39.973999 0.505 0 8 1 62 2.209105e+14
0.258934 1.76368 3.62399 40.986 0.505 0 8 1 62 1.940131e+14
0.256234 1.76491 3.62307 41.997997 0.505 0 8 1 62 2.026645e+14
0.250734 1.76847 3.61908 43.009998 0.505 0 8 1 62 1.298317e+14
0.243684 1.77232 3.6181 44.021999 0.505 0 8 1 62 1.664257e+14
0.238854 1.77737 3.6231 45.034 0.505 0 8 1 62 2.066850e+14
